# Franka Trajectory: Poses and Joint Angles
# IK Success Rate: 100.0%
# Total time: 5.000 seconds
# Total distance: 0.300 meters
# Format: timestamp, x, y, z, qx, qy, qz, qw, velocity, j1, j2, j3, j4, j5, j6, j7
0.0000, 0.400000, 0.000000, 0.400000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, -0.931314, 1.919068, -0.987754, 0.000000, 0.000000, 0.000000
0.2632, 0.410526, 0.010526, 0.394737, -0.005408, 0.020182, 0.013056, 0.999696, 0.060000, 0.025635, -0.925799, 1.884363, -0.958564, 0.025909, 0.040504, -0.010294
0.5263, 0.421053, 0.021053, 0.389474, -0.010812, 0.040352, 0.026103, 0.998786, 0.060000, 0.049958, -0.918713, 1.847908, -0.929195, 0.051463, 0.081260, -0.019558
0.7895, 0.431579, 0.031579, 0.384211, -0.016210, 0.060498, 0.039135, 0.997269, 0.060000, 0.073041, -0.910081, 1.809712, -0.899631, 0.076742, 0.122238, -0.027808
1.0526, 0.442105, 0.042105, 0.378947, -0.021598, 0.080606, 0.052143, 0.995147, 0.060000, 0.094952, -0.899926, 1.769772, -0.869846, 0.101828, 0.163409, -0.035055
1.3158, 0.452632, 0.052632, 0.373684, -0.026973, 0.100666, 0.065119, 0.992420, 0.060000, 0.115759, -0.888264, 1.728070, -0.839806, 0.126802, 0.204746, -0.041301
1.5789, 0.463158, 0.063158, 0.368421, -0.032332, 0.120665, 0.078056, 0.989091, 0.060000, 0.135528, -0.875105, 1.684575, -0.809470, 0.151748, 0.246225, -0.046541
1.8421, 0.473684, 0.073684, 0.363158, -0.037671, 0.140590, 0.090946, 0.985162, 0.060000, 0.154319, -0.860447, 1.639236, -0.778788, 0.176752, 0.287817, -0.050761
2.1053, 0.484211, 0.084211, 0.357895, -0.042987, 0.160430, 0.103780, 0.980634, 0.060000, 0.172191, -0.844281, 1.591982, -0.747701, 0.201905, 0.329499, -0.053937
2.3684, 0.494737, 0.094737, 0.352632, -0.048277, 0.180173, 0.116551, 0.975512, 0.060000, 0.189199, -0.826580, 1.542720, -0.716139, 0.227302, 0.371244, -0.056036
2.6316, 0.505263, 0.105263, 0.347368, -0.053538, 0.199806, 0.129252, 0.969797, 0.060000, 0.205395, -0.807306, 1.491328, -0.684022, 0.253045, 0.413025, -0.057014
2.8947, 0.515789, 0.115789, 0.342105, -0.058766, 0.219318, 0.141874, 0.963493, 0.060000, 0.220829, -0.786399, 1.437653, -0.651254, 0.279247, 0.454816, -0.056813
3.1579, 0.526316, 0.126316, 0.336842, -0.063959, 0.238697, 0.154410, 0.956604, 0.060000, 0.235545, -0.763776, 1.381497, -0.617721, 0.306029, 0.496587, -0.055364
3.4211, 0.536842, 0.136842, 0.331579, -0.069112, 0.257931, 0.166852, 0.949134, 0.060000, 0.249587, -0.739323, 1.322611, -0.583287, 0.333525, 0.538309, -0.052578
3.6842, 0.547368, 0.147368, 0.326316, -0.074224, 0.277008, 0.179193, 0.941088, 0.060000, 0.262995, -0.712888, 1.260674, -0.547786, 0.361886, 0.579946, -0.048348
3.9474, 0.557895, 0.157895, 0.321053, -0.079291, 0.295917, 0.191425, 0.932471, 0.060000, 0.275806, -0.684266, 1.195273, -0.511007, 0.391284, 0.621462, -0.042546
4.2105, 0.568421, 0.168421, 0.315789, -0.084309, 0.314646, 0.203541, 0.923288, 0.060000, 0.288055, -0.653178, 1.125863, -0.472685, 0.421912, 0.662816, -0.035017
4.4737, 0.578947, 0.178947, 0.310526, -0.089277, 0.333185, 0.215533, 0.913544, 0.060000, 0.299776, -0.619241, 1.051706, -0.432465, 0.453994, 0.703961, -0.025573
4.7368, 0.589474, 0.189474, 0.305263, -0.094190, 0.351521, 0.227394, 0.903246, 0.060000, 0.310998, -0.581909, 0.971770, -0.389861, 0.487789, 0.744843, -0.013990
5.0000, 0.600000, 0.200000, 0.300000, -0.099046, 0.369644, 0.239118, 0.892399, 0.060000, 0.321751, -0.540374, 0.884546, -0.344172, 0.523599, 0.785398, -0.000000
